,Time,Type,Zone1,Zone2,Zone3,Zone4,Zone5,Zone6,Zone7,Zone8,Zone9,Zone10,Zone11,Zone12,Zone13,Zone14,Zone15,Zone16,Zone17,Zone18,Zone19,Zone20,Zone21,Zone22,Zone23,Zone24,Zone25
0,35,Tuna,-2.0,0.0,0.0,1.0,-1.0,0.0,1.0,3.0,3.0,0.0,-2.0,5.0,-3.0,0.0,1.0,-1.0,0.0,-2.0,3.0,-3.0,-1.0,0.0,0.0,-3.0,1.0
1,35,Salmon,0.0,0.0,0.0,-1.0,-2.0,-3.0,2.0,-1.0,0.0,6.0,-2.0,-5.0,2.0,-2.0,-2.0,-3.0,4.0,2.0,1.0,-1.0,0.0,6.0,-3.0,0.0,2.0
2,35,Clown,3.0,3.0,3.0,0.0,-3.0,3.0,-3.0,-6.0,0.0,3.0,-3.0,3.0,-3.0,0.0,0.0,0.0,-3.0,3.0,-3.0,0.0,6.0,3.0,-3.0,-3.0,0.0
0,36,Tuna,-2.0,0.0,0.0,1.0,-1.0,-1.0,2.0,4.0,4.0,-1.0,-2.0,5.0,-4.0,0.0,1.0,-1.0,0.0,-2.0,3.0,-3.0,-1.0,0.0,0.0,-3.0,1.0
1,36,Salmon,1.0,-1.0,0.0,-1.0,-2.0,-3.0,2.0,-1.0,0.0,6.0,-2.0,-5.0,2.0,-2.0,-2.0,-3.0,4.0,2.0,1.0,-1.0,0.0,6.0,-3.0,0.0,2.0
2,36,Clown,3.0,3.0,3.0,0.0,-3.0,3.0,-3.0,-6.0,0.0,3.0,-3.0,3.0,-3.0,0.0,0.0,0.0,-3.0,3.0,-3.0,0.0,6.0,3.0,-3.0,-3.0,0.0
0,37,Tuna,-2.0,0.0,0.0,1.0,-1.0,-1.0,2.0,3.0,4.0,-1.0,-2.0,5.0,-3.0,0.0,1.0,-1.0,0.0,-2.0,3.0,-3.0,-1.0,0.0,0.0,-3.0,1.0
1,37,Salmon,1.0,-1.0,0.0,-1.0,-2.0,-3.0,2.0,-1.0,0.0,6.0,-2.0,-5.0,2.0,-2.0,-2.0,-3.0,4.0,2.0,1.0,-1.0,1.0,5.0,-3.0,0.0,2.0
2,37,Clown,3.0,3.0,3.0,0.0,-3.0,3.0,-3.0,-6.0,0.0,3.0,-3.0,3.0,-3.0,-3.0,3.0,0.0,-3.0,3.0,-3.0,0.0,6.0,3.0,-3.0,-3.0,0.0
0,38,Tuna,-2.0,0.0,0.0,1.0,-1.0,-1.0,2.0,3.0,5.0,-1.0,-2.0,5.0,-3.0,-1.0,1.0,-1.0,0.0,-2.0,3.0,-3.0,-1.0,0.0,0.0,-3.0,1.0
