,Time,Type,Zone1,Zone2,Zone3
2,192,Clown,-36.0,63.0,-27.0
0,193,Tuna,-1.0,-4.0,5.0
1,193,Salmon,1.0,-4.0,3.0
2,193,Clown,-30.0,57.0,-27.0
0,194,Tuna,0.0,-5.0,5.0
1,194,Salmon,2.0,-5.0,3.0
2,194,Clown,-30.0,57.0,-27.0
0,195,Tuna,1.0,-7.0,6.0
1,195,Salmon,2.0,-5.0,3.0
2,195,Clown,-30.0,57.0,-27.0
0,196,Tuna,1.0,-7.0,6.0
1,196,Salmon,2.0,-5.0,3.0
2,196,Clown,-30.0,57.0,-27.0
0,197,Tuna,2.0,-8.0,6.0
1,197,Salmon,2.0,-6.0,4.0
2,197,Clown,-30.0,57.0,-27.0
0,198,Tuna,2.0,-9.0,7.0
1,198,Salmon,2.0,-7.0,5.0
2,198,Clown,-30.0,57.0,-27.0
0,199,Tuna,2.0,-9.0,7.0
1,199,Salmon,2.0,-7.0,5.0
2,199,Clown,-27.0,54.0,-27.0
0,200,Tuna,2.0,-9.0,7.0
1,200,Salmon,3.0,-8.0,5.0
2,200,Clown,-27.0,54.0,-27.0
0,201,Tuna,2.0,-9.0,7.0
1,201,Salmon,3.0,-9.0,6.0
2,201,Clown,-27.0,54.0,-27.0
0,202,Tuna,2.0,-9.0,7.0
1,202,Salmon,3.0,-9.0,6.0
2,202,Clown,-30.0,57.0,-27.0
0,203,Tuna,2.0,-10.0,8.0
1,203,Salmon,4.0,-10.0,6.0
2,203,Clown,-30.0,57.0,-27.0
0,204,Tuna,2.0,-10.0,8.0
1,204,Salmon,5.0,-11.0,6.0
2,204,Clown,-33.0,60.0,-27.0
0,205,Tuna,2.0,-9.0,7.0
1,205,Salmon,5.0,-11.0,6.0
2,205,Clown,-33.0,60.0,-27.0
0,206,Tuna,1.0,-8.0,7.0
1,206,Salmon,5.0,-11.0,6.0
2,206,Clown,-33.0,60.0,-27.0
0,207,Tuna,1.0,-8.0,7.0
1,207,Salmon,3.0,-8.0,5.0
2,207,Clown,-33.0,63.0,-30.0
0,208,Tuna,1.0,-8.0,7.0
1,208,Salmon,3.0,-8.0,5.0
2,208,Clown,-36.0,66.0,-30.0
0,209,Tuna,1.0,-9.0,8.0
1,209,Salmon,5.0,-9.0,4.0
2,209,Clown,-36.0,66.0,-30.0
